id,note
M1,Supernova remnant from the historical 1054 event observed by Chinese astronomers
M13,Brightest northern globular cluster and a classic showpiece in medium telescopes
M31,Nearest giant spiral galaxy and the most distant object visible to the naked eye
M42,Brightest diffuse nebula in the sky and a benchmark target for nebula filters
M45,Young nearby open cluster with prominent blue reflection nebulosity
M51,Interacting spiral pair with a clear grand-design pattern in dark skies
M57,Classic annular planetary nebula often called the Ring Nebula
M81,Bright nearby spiral galaxy and anchor object of the M81 group
M82,Edge-on starburst galaxy with strong dust lanes and active outflows
M104,Luminous bulge and dust lane make this one of the most distinctive galaxies
